size,name,type,carbs,proteins,fats
Large,Carribean Chicken,Entrée,36,47,6
Large,Flank Steak,Entrée,40,55,33
Large,Flat Iron Fajitas,Entrée,54,37,15
Large,Flat Iron Steak,Entrée,25,38,22
Large,Honey Marinated Shrimp,Entrée,41,38,15
Large,Penne Pasta with Turkey Marinara,Entrée,42,45,16
Large,Pork Fried Rice,Entrée,51,53,8
Large,Puttanesca Pasta with Salmon,Entrée,24,39,23
Large,Salmon Carbonara,Entrée,21,49,32
Large,Shoyu Marinated Steak,Entrée,32,39,21
Large,Shoyu Marinated Tilapia,Entrée,60,45,17
Large,Shrimp & Grits,Entrée,52,50,15
Large,Soba Noodle Stir Fry,Entrée,51,52,9
Large,Spiced Tilapia,Entrée,38,40,15
Small,Carribean Chicken,Entrée,24,31,4
Small,Flank Steak,Entrée,31,37,23
Small,Flat Iron Fajitas,Entrée,36,25,10
Small,Flat Iron Steak,Entrée,17,25,15
Small,Honey Marinated Shrimp,Entrée,27,29,11
Small,Penne Pasta with Turkey Marinara,Entrée,28,30,11
Small,Pork Fried Rice,Entrée,34,29,6
Small,Puttanesca Pasta with Salmon,Entrée,16,26,16
Small,Salmon Carbonara,Entrée,14,33,4
Small,Shoyu Marinated Steak,Entrée,24,26,14
Small,Shoyu Marinated Tilapia,Entrée,39,30,12
Small,Shrimp & Grits,Entrée,35,33,10
Small,Soba Noodle Stir Fry,Entrée,34,34,6
Small,Spiced Tilapia,Entrée,27,27,10
Large,Ground Turkey Breakfast Burrito,Breakfast,34,52,27
Large,Ham & Asperagus Scramble,Breakfast,49,55,27
Large,Shrimp Scramble,Breakfast,50,57,23
Large,Sweet Potato Hash,Breakfast,44,48,15
Large,Turkey Bacon Scramble,Breakfast,42,65,53
Large,Turkey Scramble,Breakfast,17,52,11
Small,Ground Turkey Breakfast Burrito,Breakfast,23,34,18
Small,Ham & Asperagus Scramble,Breakfast,33,37,18
Small,Shrimp Scramble,Breakfast,33,38,17
Small,Sweet Potato Hash,Breakfast,33,33,10
Small,Turkey Bacon Scramble,Breakfast,29,44,36
Small,Turkey Scramble,Breakfast,12,35,7
