size,name,type,carbs,proteins,fats
Large,Carribean Chicken,Entree,36,47,6
Large,Flank Steak,Entree,40,55,33
Large,Flat Iron Fajitas,Entree,54,37,15
Large,Flat Iron Steak,Entree,25,38,22
Large,Honey Marinated Shrimp,Entree,41,38,15
Large,Penne Pasta with Turkey Marinara,Entree,42,45,16
Large,Pork Fried Rice,Entree,51,53,8
Large,Puttanesca Pasta with Salmon,Entree,24,39,23
Large,Salmon Carbonara,Entree,21,49,32
Large,Shoyu Marinated Steak,Entree,32,39,21
Large,Shoyu Marinated Tilapia,Entree,60,45,17
Large,Shrimp & Grits,Entree,52,50,15
Large,Soba Noodle Stir Fry,Entree,51,52,9
Large,Spiced Tilapia,Entree,38,40,15
Small,Carribean Chicken,Entree,24,31,4
Small,Flank Steak,Entree,31,37,23
Small,Flat Iron Fajitas,Entree,36,25,10
Small,Flat Iron Steak,Entree,17,25,15
Small,Honey Marinated Shrimp,Entree,27,29,11
Small,Penne Pasta with Turkey Marinara,Entree,28,30,11
Small,Pork Fried Rice,Entree,34,29,6
Small,Puttanesca Pasta with Salmon,Entree,16,26,16
Small,Salmon Carbonara,Entree,14,33,4
Small,Shoyu Marinated Steak,Entree,24,26,14
Small,Shoyu Marinated Tilapia,Entree,39,30,12
Small,Shrimp & Grits,Entree,35,33,10
Small,Soba Noodle Stir Fry,Entree,34,34,6
Small,Spiced Tilapia,Entree,27,27,10
Large,Ground Turkey Breakfast Burrito,Breakfast,34,52,27
Large,Ham & Asperagus Scramble,Breakfast,49,55,27
Large,Shrimp Scramble,Breakfast,50,57,23
Large,Sweet Potato Hash,Breakfast,44,48,15
Large,Turkey Bacon Scramble,Breakfast,42,65,53
Large,Turkey Scramble,Breakfast,17,52,11
Small,Ground Turkey Breakfast Burrito,Breakfast,23,34,18
Small,Ham & Asperagus Scramble,Breakfast,33,37,18
Small,Shrimp Scramble,Breakfast,33,38,17
Small,Sweet Potato Hash,Breakfast,33,33,10
Small,Turkey Bacon Scramble,Breakfast,29,44,36
Small,Turkey Scramble,Breakfast,12,35,7
